clip_id,voice_id,sentence_id,noise_type,snr_db,path,reference_raw,prediction_raw,reference_norm,prediction_norm,wer,cer
voice_01_s002_cafe_5db,voice_01,s002,cafe,5,data\noisy_wav\voice_01_s002_cafe_5db.wav,She forgot her notebook at the library.,She forgot her notebook at the library.,she forgot her notebook at the library,she forgot her notebook at the library,0.0,0.0
voice_01_s002_cafe_0db,voice_01,s002,cafe,0,data\noisy_wav\voice_01_s002_cafe_0db.wav,She forgot her notebook at the library.,She forgot her notebook at the library.,she forgot her notebook at the library,she forgot her notebook at the library,0.0,0.0
voice_01_s002_cafe_-5db,voice_01,s002,cafe,-5,data\noisy_wav\voice_01_s002_cafe_-5db.wav,She forgot her notebook at the library.,She forgot her note doesn't lie.,she forgot her notebook at the library,she forgot her note doesn't lie,0.5714285714285714,0.3684210526315789
voice_01_s002_cafe_-10db,voice_01,s002,cafe,-10,data\noisy_wav\voice_01_s002_cafe_-10db.wav,She forgot her notebook at the library.,they can see what kind of device they can buy.,she forgot her notebook at the library,they can see what kind of device they can buy,1.4285714285714286,0.8421052631578947
voice_01_s002_traffic_20db,voice_01,s002,traffic,20,data\noisy_wav\voice_01_s002_traffic_20db.wav,She forgot her notebook at the library.,She forgot her notebook at the library.,she forgot her notebook at the library,she forgot her notebook at the library,0.0,0.0
voice_01_s002_traffic_10db,voice_01,s002,traffic,10,data\noisy_wav\voice_01_s002_traffic_10db.wav,She forgot her notebook at the library.,She forgot her notebook at the library.,she forgot her notebook at the library,she forgot her notebook at the library,0.0,0.0
voice_01_s002_traffic_5db,voice_01,s002,traffic,5,data\noisy_wav\voice_01_s002_traffic_5db.wav,She forgot her notebook at the library.,She forgot her notebook at the library.,she forgot her notebook at the library,she forgot her notebook at the library,0.0,0.0
voice_01_s002_traffic_0db,voice_01,s002,traffic,0,data\noisy_wav\voice_01_s002_traffic_0db.wav,She forgot her notebook at the library.,She forgot her notebook at the library.,she forgot her notebook at the library,she forgot her notebook at the library,0.0,0.0
voice_01_s002_traffic_-5db,voice_01,s002,traffic,-5,data\noisy_wav\voice_01_s002_traffic_-5db.wav,She forgot her notebook at the library.,She forgot her notebook at the library.,she forgot her notebook at the library,she forgot her notebook at the library,0.0,0.0
voice_01_s002_traffic_-10db,voice_01,s002,traffic,-10,data\noisy_wav\voice_01_s002_traffic_-10db.wav,She forgot her notebook at the library.,"She forgot her notebook, it's a library.",she forgot her notebook at the library,she forgot her notebook it's a library,0.2857142857142857,0.13157894736842105
voice_01_s002_fan_20db,voice_01,s002,fan,20,data\noisy_wav\voice_01_s002_fan_20db.wav,She forgot her notebook at the library.,She forgot her notebook at the library.,she forgot her notebook at the library,she forgot her notebook at the library,0.0,0.0
voice_01_s002_fan_10db,voice_01,s002,fan,10,data\noisy_wav\voice_01_s002_fan_10db.wav,She forgot her notebook at the library.,She forgot her notebook at the library.,she forgot her notebook at the library,she forgot her notebook at the library,0.0,0.0
voice_01_s002_fan_5db,voice_01,s002,fan,5,data\noisy_wav\voice_01_s002_fan_5db.wav,She forgot her notebook at the library.,She forgot her notebook at the library.,she forgot her notebook at the library,she forgot her notebook at the library,0.0,0.0
voice_01_s002_fan_0db,voice_01,s002,fan,0,data\noisy_wav\voice_01_s002_fan_0db.wav,She forgot her notebook at the library.,She forgot her notebook at the library.,she forgot her notebook at the library,she forgot her notebook at the library,0.0,0.0
voice_01_s002_fan_-5db,voice_01,s002,fan,-5,data\noisy_wav\voice_01_s002_fan_-5db.wav,She forgot her notebook at the library.,She forgot her notebook in the library.,she forgot her notebook at the library,she forgot her notebook in the library,0.14285714285714285,0.05263157894736842
voice_01_s002_fan_-10db,voice_01,s002,fan,-10,data\noisy_wav\voice_01_s002_fan_-10db.wav,She forgot her notebook at the library.,"She's about her milk, so it's a lot for me.",she forgot her notebook at the library,she's about her milk so it's a lot for me,1.2857142857142858,0.6842105263157895
voice_01_s003_cafe_20db,voice_01,s003,cafe,20,data\noisy_wav\voice_01_s003_cafe_20db.wav,The orange jacket was hanging near the stairs.,The orange jacket was hanging near the stairs.,the orange jacket was hanging near the stairs,the orange jacket was hanging near the stairs,0.0,0.0
voice_01_s003_cafe_10db,voice_01,s003,cafe,10,data\noisy_wav\voice_01_s003_cafe_10db.wav,The orange jacket was hanging near the stairs.,The orange jacket was hanging near the stairs.,the orange jacket was hanging near the stairs,the orange jacket was hanging near the stairs,0.0,0.0
voice_01_s003_cafe_5db,voice_01,s003,cafe,5,data\noisy_wav\voice_01_s003_cafe_5db.wav,The orange jacket was hanging near the stairs.,The orange jacket was hanging near the stairs.,the orange jacket was hanging near the stairs,the orange jacket was hanging near the stairs,0.0,0.0
voice_01_s003_cafe_0db,voice_01,s003,cafe,0,data\noisy_wav\voice_01_s003_cafe_0db.wav,The orange jacket was hanging near the stairs.,The orange jacket was hanging near the stairs.,the orange jacket was hanging near the stairs,the orange jacket was hanging near the stairs,0.0,0.0
voice_01_s003_cafe_-5db,voice_01,s003,cafe,-5,data\noisy_wav\voice_01_s003_cafe_-5db.wav,The orange jacket was hanging near the stairs.,Lawrence Jacket was hanging near the stairs.,the orange jacket was hanging near the stairs,lawrence jacket was hanging near the stairs,0.25,0.15555555555555556
voice_01_s003_cafe_-10db,voice_01,s003,cafe,-10,data\noisy_wav\voice_01_s003_cafe_-10db.wav,The orange jacket was hanging near the stairs.,You were just going to need your eyes to hear your sound.,the orange jacket was hanging near the stairs,you were just going to need your eyes to hear your sound,1.5,0.9555555555555556
voice_01_s003_traffic_20db,voice_01,s003,traffic,20,data\noisy_wav\voice_01_s003_traffic_20db.wav,The orange jacket was hanging near the stairs.,The orange jacket was hanging near the stairs.,the orange jacket was hanging near the stairs,the orange jacket was hanging near the stairs,0.0,0.0
voice_01_s003_traffic_10db,voice_01,s003,traffic,10,data\noisy_wav\voice_01_s003_traffic_10db.wav,The orange jacket was hanging near the stairs.,The orange jacket was hanging near the stairs.,the orange jacket was hanging near the stairs,the orange jacket was hanging near the stairs,0.0,0.0
voice_01_s003_traffic_5db,voice_01,s003,traffic,5,data\noisy_wav\voice_01_s003_traffic_5db.wav,The orange jacket was hanging near the stairs.,The orange jacket was hanging near the stairs.,the orange jacket was hanging near the stairs,the orange jacket was hanging near the stairs,0.0,0.0
voice_01_s003_traffic_0db,voice_01,s003,traffic,0,data\noisy_wav\voice_01_s003_traffic_0db.wav,The orange jacket was hanging near the stairs.,The orange jacket was hanging near the stairs.,the orange jacket was hanging near the stairs,the orange jacket was hanging near the stairs,0.0,0.0
voice_01_s003_traffic_-5db,voice_01,s003,traffic,-5,data\noisy_wav\voice_01_s003_traffic_-5db.wav,The orange jacket was hanging near the stairs.,The orange jacket was hanging near the stairs.,the orange jacket was hanging near the stairs,the orange jacket was hanging near the stairs,0.0,0.0
voice_01_s003_traffic_-10db,voice_01,s003,traffic,-10,data\noisy_wav\voice_01_s003_traffic_-10db.wav,The orange jacket was hanging near the stairs.,George Jacket was hanging near the stairs.,the orange jacket was hanging near the stairs,george jacket was hanging near the stairs,0.25,0.1111111111111111
voice_01_s003_fan_20db,voice_01,s003,fan,20,data\noisy_wav\voice_01_s003_fan_20db.wav,The orange jacket was hanging near the stairs.,The orange jacket was hanging near the stairs.,the orange jacket was hanging near the stairs,the orange jacket was hanging near the stairs,0.0,0.0
voice_01_s003_fan_10db,voice_01,s003,fan,10,data\noisy_wav\voice_01_s003_fan_10db.wav,The orange jacket was hanging near the stairs.,The orange jacket was hanging near the stairs.,the orange jacket was hanging near the stairs,the orange jacket was hanging near the stairs,0.0,0.0
voice_01_s003_fan_5db,voice_01,s003,fan,5,data\noisy_wav\voice_01_s003_fan_5db.wav,The orange jacket was hanging near the stairs.,The orange jacket was hanging near the stairs.,the orange jacket was hanging near the stairs,the orange jacket was hanging near the stairs,0.0,0.0
voice_01_s003_fan_0db,voice_01,s003,fan,0,data\noisy_wav\voice_01_s003_fan_0db.wav,The orange jacket was hanging near the stairs.,The orange jacket was hanging near the stairs.,the orange jacket was hanging near the stairs,the orange jacket was hanging near the stairs,0.0,0.0
voice_01_s003_fan_-5db,voice_01,s003,fan,-5,data\noisy_wav\voice_01_s003_fan_-5db.wav,The orange jacket was hanging near the stairs.,the orange jacket was hanging near the stairs.,the orange jacket was hanging near the stairs,the orange jacket was hanging near the stairs,0.0,0.0
voice_01_s003_fan_-10db,voice_01,s003,fan,-10,data\noisy_wav\voice_01_s003_fan_-10db.wav,The orange jacket was hanging near the stairs.,The approach jacket was hanging in the stairs.,the orange jacket was hanging near the stairs,the approach jacket was hanging in the stairs,0.25,0.24444444444444444
voice_01_s004_cafe_20db,voice_01,s004,cafe,20,data\noisy_wav\voice_01_s004_cafe_20db.wav,Please confirm the meeting before Friday.,Please confirm the meeting before Friday.,please confirm the meeting before friday,please confirm the meeting before friday,0.0,0.0
voice_01_s004_cafe_10db,voice_01,s004,cafe,10,data\noisy_wav\voice_01_s004_cafe_10db.wav,Please confirm the meeting before Friday.,Please confirm the meeting before Friday.,please confirm the meeting before friday,please confirm the meeting before friday,0.0,0.0
voice_01_s004_cafe_5db,voice_01,s004,cafe,5,data\noisy_wav\voice_01_s004_cafe_5db.wav,Please confirm the meeting before Friday.,Please confirm the meeting before Friday.,please confirm the meeting before friday,please confirm the meeting before friday,0.0,0.0
voice_01_s004_cafe_0db,voice_01,s004,cafe,0,data\noisy_wav\voice_01_s004_cafe_0db.wav,Please confirm the meeting before Friday.,Please confirm the meeting before Friday.,please confirm the meeting before friday,please confirm the meeting before friday,0.0,0.0
voice_01_s004_cafe_-5db,voice_01,s004,cafe,-5,data\noisy_wav\voice_01_s004_cafe_-5db.wav,Please confirm the meeting before Friday.,Please confirm the meeting before Friday.,please confirm the meeting before friday,please confirm the meeting before friday,0.0,0.0
voice_01_s004_cafe_-10db,voice_01,s004,cafe,-10,data\noisy_wav\voice_01_s004_cafe_-10db.wav,Please confirm the meeting before Friday.,"say friends, go for a pleasure right now.",please confirm the meeting before friday,say friends go for a pleasure right now,1.3333333333333333,0.875
voice_01_s004_traffic_20db,voice_01,s004,traffic,20,data\noisy_wav\voice_01_s004_traffic_20db.wav,Please confirm the meeting before Friday.,Please confirm the meeting before Friday.,please confirm the meeting before friday,please confirm the meeting before friday,0.0,0.0
voice_01_s004_traffic_10db,voice_01,s004,traffic,10,data\noisy_wav\voice_01_s004_traffic_10db.wav,Please confirm the meeting before Friday.,Please confirm the meeting before Friday.,please confirm the meeting before friday,please confirm the meeting before friday,0.0,0.0
voice_01_s004_traffic_5db,voice_01,s004,traffic,5,data\noisy_wav\voice_01_s004_traffic_5db.wav,Please confirm the meeting before Friday.,Please confirm the meeting before Friday.,please confirm the meeting before friday,please confirm the meeting before friday,0.0,0.0
voice_01_s004_traffic_0db,voice_01,s004,traffic,0,data\noisy_wav\voice_01_s004_traffic_0db.wav,Please confirm the meeting before Friday.,Please confirm the meeting before Friday.,please confirm the meeting before friday,please confirm the meeting before friday,0.0,0.0
voice_01_s004_traffic_-5db,voice_01,s004,traffic,-5,data\noisy_wav\voice_01_s004_traffic_-5db.wav,Please confirm the meeting before Friday.,Please confirm the meeting before Friday.,please confirm the meeting before friday,please confirm the meeting before friday,0.0,0.0
voice_01_s004_traffic_-10db,voice_01,s004,traffic,-10,data\noisy_wav\voice_01_s004_traffic_-10db.wav,Please confirm the meeting before Friday.,please confirm the meeting before Friday.,please confirm the meeting before friday,please confirm the meeting before friday,0.0,0.0
voice_01_s004_fan_20db,voice_01,s004,fan,20,data\noisy_wav\voice_01_s004_fan_20db.wav,Please confirm the meeting before Friday.,Please confirm the meeting before Friday.,please confirm the meeting before friday,please confirm the meeting before friday,0.0,0.0
voice_01_s004_fan_10db,voice_01,s004,fan,10,data\noisy_wav\voice_01_s004_fan_10db.wav,Please confirm the meeting before Friday.,Please confirm the meeting before Friday.,please confirm the meeting before friday,please confirm the meeting before friday,0.0,0.0
voice_01_s004_fan_5db,voice_01,s004,fan,5,data\noisy_wav\voice_01_s004_fan_5db.wav,Please confirm the meeting before Friday.,Please confirm the meeting before Friday.,please confirm the meeting before friday,please confirm the meeting before friday,0.0,0.0
voice_01_s004_fan_0db,voice_01,s004,fan,0,data\noisy_wav\voice_01_s004_fan_0db.wav,Please confirm the meeting before Friday.,Please confirm the meeting before Friday.,please confirm the meeting before friday,please confirm the meeting before friday,0.0,0.0
voice_01_s004_fan_-5db,voice_01,s004,fan,-5,data\noisy_wav\voice_01_s004_fan_-5db.wav,Please confirm the meeting before Friday.,Please confirm the meeting before Friday.,please confirm the meeting before friday,please confirm the meeting before friday,0.0,0.0
voice_01_s004_fan_-10db,voice_01,s004,fan,-10,data\noisy_wav\voice_01_s004_fan_-10db.wav,Please confirm the meeting before Friday.,Please go from the main road for the Friday.,please confirm the meeting before friday,please go from the main road for the friday,1.0,0.4
voice_01_s005_cafe_20db,voice_01,s005,cafe,20,data\noisy_wav\voice_01_s005_cafe_20db.wav,I heard thunder while walking across campus.,I heard thunder while walking across campus.,i heard thunder while walking across campus,i heard thunder while walking across campus,0.0,0.0
voice_01_s005_cafe_10db,voice_01,s005,cafe,10,data\noisy_wav\voice_01_s005_cafe_10db.wav,I heard thunder while walking across campus.,I heard thunder while walking across campus.,i heard thunder while walking across campus,i heard thunder while walking across campus,0.0,0.0
voice_01_s005_cafe_5db,voice_01,s005,cafe,5,data\noisy_wav\voice_01_s005_cafe_5db.wav,I heard thunder while walking across campus.,I heard thunder while walking across campus.,i heard thunder while walking across campus,i heard thunder while walking across campus,0.0,0.0
voice_01_s005_cafe_0db,voice_01,s005,cafe,0,data\noisy_wav\voice_01_s005_cafe_0db.wav,I heard thunder while walking across campus.,and the first thunder while walking across campus.,i heard thunder while walking across campus,and the first thunder while walking across campus,0.42857142857142855,0.20930232558139536
voice_01_s005_cafe_-5db,voice_01,s005,cafe,-5,data\noisy_wav\voice_01_s005_cafe_-5db.wav,I heard thunder while walking across campus.,Thunder while walking across campus.,i heard thunder while walking across campus,thunder while walking across campus,0.2857142857142857,0.18604651162790697
voice_01_s005_cafe_-10db,voice_01,s005,cafe,-10,data\noisy_wav\voice_01_s005_cafe_-10db.wav,I heard thunder while walking across campus.,,i heard thunder while walking across campus,,1.0,1.0
voice_01_s005_traffic_20db,voice_01,s005,traffic,20,data\noisy_wav\voice_01_s005_traffic_20db.wav,I heard thunder while walking across campus.,I heard thunder while walking across campus.,i heard thunder while walking across campus,i heard thunder while walking across campus,0.0,0.0
voice_01_s005_traffic_10db,voice_01,s005,traffic,10,data\noisy_wav\voice_01_s005_traffic_10db.wav,I heard thunder while walking across campus.,I heard thunder while walking across campus.,i heard thunder while walking across campus,i heard thunder while walking across campus,0.0,0.0
voice_01_s005_traffic_5db,voice_01,s005,traffic,5,data\noisy_wav\voice_01_s005_traffic_5db.wav,I heard thunder while walking across campus.,I heard thunder while walking across campus.,i heard thunder while walking across campus,i heard thunder while walking across campus,0.0,0.0
voice_01_s005_traffic_0db,voice_01,s005,traffic,0,data\noisy_wav\voice_01_s005_traffic_0db.wav,I heard thunder while walking across campus.,I heard thunder while walking across campus.,i heard thunder while walking across campus,i heard thunder while walking across campus,0.0,0.0
voice_01_s005_traffic_-5db,voice_01,s005,traffic,-5,data\noisy_wav\voice_01_s005_traffic_-5db.wav,I heard thunder while walking across campus.,I heard thunder while walking across campus.,i heard thunder while walking across campus,i heard thunder while walking across campus,0.0,0.0
voice_01_s005_traffic_-10db,voice_01,s005,traffic,-10,data\noisy_wav\voice_01_s005_traffic_-10db.wav,I heard thunder while walking across campus.,I heard thunder while walking across campus.,i heard thunder while walking across campus,i heard thunder while walking across campus,0.0,0.0
voice_01_s005_fan_20db,voice_01,s005,fan,20,data\noisy_wav\voice_01_s005_fan_20db.wav,I heard thunder while walking across campus.,I heard thunder while walking across campus.,i heard thunder while walking across campus,i heard thunder while walking across campus,0.0,0.0
voice_01_s005_fan_10db,voice_01,s005,fan,10,data\noisy_wav\voice_01_s005_fan_10db.wav,I heard thunder while walking across campus.,I heard thunder while walking across campus.,i heard thunder while walking across campus,i heard thunder while walking across campus,0.0,0.0
voice_01_s005_fan_5db,voice_01,s005,fan,5,data\noisy_wav\voice_01_s005_fan_5db.wav,I heard thunder while walking across campus.,I heard thunder while walking across campus.,i heard thunder while walking across campus,i heard thunder while walking across campus,0.0,0.0
voice_01_s005_fan_0db,voice_01,s005,fan,0,data\noisy_wav\voice_01_s005_fan_0db.wav,I heard thunder while walking across campus.,at the heart of Thunder while walking across campus.,i heard thunder while walking across campus,at the heart of thunder while walking across campus,0.5714285714285714,0.23255813953488372
voice_01_s005_fan_-5db,voice_01,s005,fan,-5,data\noisy_wav\voice_01_s005_fan_-5db.wav,I heard thunder while walking across campus.,and heard thunder while walking across campus.,i heard thunder while walking across campus,and heard thunder while walking across campus,0.14285714285714285,0.06976744186046512
voice_01_s005_fan_-10db,voice_01,s005,fan,-10,data\noisy_wav\voice_01_s005_fan_-10db.wav,I heard thunder while walking across campus.,,i heard thunder while walking across campus,,1.0,1.0
voice_01_s006_cafe_20db,voice_01,s006,cafe,20,data\noisy_wav\voice_01_s006_cafe_20db.wav,The train stopped suddenly near the station.,The train stops suddenly near the station.,the train stopped suddenly near the station,the train stops suddenly near the station,0.14285714285714285,0.06976744186046512
voice_01_s006_cafe_10db,voice_01,s006,cafe,10,data\noisy_wav\voice_01_s006_cafe_10db.wav,The train stopped suddenly near the station.,the train stops suddenly near the station.,the train stopped suddenly near the station,the train stops suddenly near the station,0.14285714285714285,0.06976744186046512
voice_01_s006_cafe_5db,voice_01,s006,cafe,5,data\noisy_wav\voice_01_s006_cafe_5db.wav,The train stopped suddenly near the station.,the train stopped suddenly near the station.,the train stopped suddenly near the station,the train stopped suddenly near the station,0.0,0.0
voice_01_s006_cafe_0db,voice_01,s006,cafe,0,data\noisy_wav\voice_01_s006_cafe_0db.wav,The train stopped suddenly near the station.,The train stops suddenly near the station.,the train stopped suddenly near the station,the train stops suddenly near the station,0.14285714285714285,0.06976744186046512
voice_01_s006_cafe_-5db,voice_01,s006,cafe,-5,data\noisy_wav\voice_01_s006_cafe_-5db.wav,The train stopped suddenly near the station.,train starts suddenly in the stage.,the train stopped suddenly near the station,train starts suddenly in the stage,0.5714285714285714,0.3953488372093023
voice_01_s006_cafe_-10db,voice_01,s006,cafe,-10,data\noisy_wav\voice_01_s006_cafe_-10db.wav,The train stopped suddenly near the station.,"3dx starts, suddenly you're Gravity tweeted.",the train stopped suddenly near the station,3dx starts suddenly you're gravity tweeted,0.8571428571428571,0.7441860465116279
voice_01_s006_traffic_20db,voice_01,s006,traffic,20,data\noisy_wav\voice_01_s006_traffic_20db.wav,The train stopped suddenly near the station.,The train stops suddenly near the station.,the train stopped suddenly near the station,the train stops suddenly near the station,0.14285714285714285,0.06976744186046512
voice_01_s006_traffic_10db,voice_01,s006,traffic,10,data\noisy_wav\voice_01_s006_traffic_10db.wav,The train stopped suddenly near the station.,the train stops suddenly near the station.,the train stopped suddenly near the station,the train stops suddenly near the station,0.14285714285714285,0.06976744186046512
voice_01_s006_traffic_5db,voice_01,s006,traffic,5,data\noisy_wav\voice_01_s006_traffic_5db.wav,The train stopped suddenly near the station.,the train stops suddenly near the station.,the train stopped suddenly near the station,the train stops suddenly near the station,0.14285714285714285,0.06976744186046512
voice_01_s006_traffic_0db,voice_01,s006,traffic,0,data\noisy_wav\voice_01_s006_traffic_0db.wav,The train stopped suddenly near the station.,the train stops suddenly near the station.,the train stopped suddenly near the station,the train stops suddenly near the station,0.14285714285714285,0.06976744186046512
voice_01_s006_traffic_-5db,voice_01,s006,traffic,-5,data\noisy_wav\voice_01_s006_traffic_-5db.wav,The train stopped suddenly near the station.,The train stops suddenly at a station.,the train stopped suddenly near the station,the train stops suddenly at a station,0.42857142857142855,0.20930232558139536
voice_01_s006_traffic_-10db,voice_01,s006,traffic,-10,data\noisy_wav\voice_01_s006_traffic_-10db.wav,The train stopped suddenly near the station.,The train stops suddenly near the station.,the train stopped suddenly near the station,the train stops suddenly near the station,0.14285714285714285,0.06976744186046512
voice_01_s006_fan_20db,voice_01,s006,fan,20,data\noisy_wav\voice_01_s006_fan_20db.wav,The train stopped suddenly near the station.,The train stops suddenly near the station.,the train stopped suddenly near the station,the train stops suddenly near the station,0.14285714285714285,0.06976744186046512
voice_01_s006_fan_10db,voice_01,s006,fan,10,data\noisy_wav\voice_01_s006_fan_10db.wav,The train stopped suddenly near the station.,The train stops suddenly near the station.,the train stopped suddenly near the station,the train stops suddenly near the station,0.14285714285714285,0.06976744186046512
voice_01_s006_fan_5db,voice_01,s006,fan,5,data\noisy_wav\voice_01_s006_fan_5db.wav,The train stopped suddenly near the station.,the train stops suddenly near the station.,the train stopped suddenly near the station,the train stops suddenly near the station,0.14285714285714285,0.06976744186046512
voice_01_s006_fan_0db,voice_01,s006,fan,0,data\noisy_wav\voice_01_s006_fan_0db.wav,The train stopped suddenly near the station.,The train stops suddenly near the station.,the train stopped suddenly near the station,the train stops suddenly near the station,0.14285714285714285,0.06976744186046512
voice_01_s006_fan_-5db,voice_01,s006,fan,-5,data\noisy_wav\voice_01_s006_fan_-5db.wav,The train stopped suddenly near the station.,train stops suddenly near the station.,the train stopped suddenly near the station,train stops suddenly near the station,0.2857142857142857,0.16279069767441862
voice_01_s006_fan_-10db,voice_01,s006,fan,-10,data\noisy_wav\voice_01_s006_fan_-10db.wav,The train stopped suddenly near the station.,Train starts at the southern end of the station.,the train stopped suddenly near the station,train starts at the southern end of the station,1.0,0.5813953488372093
voice_01_s007_cafe_20db,voice_01,s007,cafe,20,data\noisy_wav\voice_01_s007_cafe_20db.wav,He placed the coffee mug beside the window.,He placed the coffee mug beside the window.,he placed the coffee mug beside the window,he placed the coffee mug beside the window,0.0,0.0
voice_01_s007_cafe_10db,voice_01,s007,cafe,10,data\noisy_wav\voice_01_s007_cafe_10db.wav,He placed the coffee mug beside the window.,He placed the coffee mug beside the window.,he placed the coffee mug beside the window,he placed the coffee mug beside the window,0.0,0.0
voice_01_s007_cafe_5db,voice_01,s007,cafe,5,data\noisy_wav\voice_01_s007_cafe_5db.wav,He placed the coffee mug beside the window.,He placed the coffee mug beside the window.,he placed the coffee mug beside the window,he placed the coffee mug beside the window,0.0,0.0
voice_01_s007_cafe_0db,voice_01,s007,cafe,0,data\noisy_wav\voice_01_s007_cafe_0db.wav,He placed the coffee mug beside the window.,and place the coffee mug beside the window.,he placed the coffee mug beside the window,and place the coffee mug beside the window,0.25,0.09523809523809523
voice_01_s007_cafe_-5db,voice_01,s007,cafe,-5,data\noisy_wav\voice_01_s007_cafe_-5db.wav,He placed the coffee mug beside the window.,He placed the coffee mat aside the other way around.,he placed the coffee mug beside the window,he placed the coffee mat aside the other way around,0.625,0.42857142857142855
voice_01_s007_cafe_-10db,voice_01,s007,cafe,-10,data\noisy_wav\voice_01_s007_cafe_-10db.wav,He placed the coffee mug beside the window.,Things are cracking.,he placed the coffee mug beside the window,things are cracking,1.0,0.8333333333333334
voice_01_s007_traffic_20db,voice_01,s007,traffic,20,data\noisy_wav\voice_01_s007_traffic_20db.wav,He placed the coffee mug beside the window.,He placed the coffee mug beside the window.,he placed the coffee mug beside the window,he placed the coffee mug beside the window,0.0,0.0
voice_01_s007_traffic_10db,voice_01,s007,traffic,10,data\noisy_wav\voice_01_s007_traffic_10db.wav,He placed the coffee mug beside the window.,He placed the coffee mug beside the window.,he placed the coffee mug beside the window,he placed the coffee mug beside the window,0.0,0.0
