clip_id,voice_id,sentence_id,transcript,audio_type,noise_type,snr_db,noise_start_sample,path
voice_01_s002_fan_-5db,voice_01,s002,She forgot her notebook at the library.,noisy,fan,-5,291704,data\noisy_wav\voice_01_s002_fan_-5db.wav
voice_01_s002_fan_-10db,voice_01,s002,She forgot her notebook at the library.,noisy,fan,-10,6814,data\noisy_wav\voice_01_s002_fan_-10db.wav
voice_01_s003_cafe_20db,voice_01,s003,The orange jacket was hanging near the stairs.,noisy,cafe,20,198916,data\noisy_wav\voice_01_s003_cafe_20db.wav
voice_01_s003_cafe_10db,voice_01,s003,The orange jacket was hanging near the stairs.,noisy,cafe,10,211240,data\noisy_wav\voice_01_s003_cafe_10db.wav
voice_01_s003_cafe_5db,voice_01,s003,The orange jacket was hanging near the stairs.,noisy,cafe,5,41853,data\noisy_wav\voice_01_s003_cafe_5db.wav
voice_01_s003_cafe_0db,voice_01,s003,The orange jacket was hanging near the stairs.,noisy,cafe,0,183013,data\noisy_wav\voice_01_s003_cafe_0db.wav
voice_01_s003_cafe_-5db,voice_01,s003,The orange jacket was hanging near the stairs.,noisy,cafe,-5,110785,data\noisy_wav\voice_01_s003_cafe_-5db.wav
voice_01_s003_cafe_-10db,voice_01,s003,The orange jacket was hanging near the stairs.,noisy,cafe,-10,89194,data\noisy_wav\voice_01_s003_cafe_-10db.wav
voice_01_s003_traffic_20db,voice_01,s003,The orange jacket was hanging near the stairs.,noisy,traffic,20,2330953,data\noisy_wav\voice_01_s003_traffic_20db.wav
voice_01_s003_traffic_10db,voice_01,s003,The orange jacket was hanging near the stairs.,noisy,traffic,10,1304256,data\noisy_wav\voice_01_s003_traffic_10db.wav
voice_01_s003_traffic_5db,voice_01,s003,The orange jacket was hanging near the stairs.,noisy,traffic,5,1806182,data\noisy_wav\voice_01_s003_traffic_5db.wav
voice_01_s003_traffic_0db,voice_01,s003,The orange jacket was hanging near the stairs.,noisy,traffic,0,8029685,data\noisy_wav\voice_01_s003_traffic_0db.wav
voice_01_s003_traffic_-5db,voice_01,s003,The orange jacket was hanging near the stairs.,noisy,traffic,-5,6404652,data\noisy_wav\voice_01_s003_traffic_-5db.wav
voice_01_s003_traffic_-10db,voice_01,s003,The orange jacket was hanging near the stairs.,noisy,traffic,-10,2823559,data\noisy_wav\voice_01_s003_traffic_-10db.wav
voice_01_s003_fan_20db,voice_01,s003,The orange jacket was hanging near the stairs.,noisy,fan,20,107175,data\noisy_wav\voice_01_s003_fan_20db.wav
voice_01_s003_fan_10db,voice_01,s003,The orange jacket was hanging near the stairs.,noisy,fan,10,97251,data\noisy_wav\voice_01_s003_fan_10db.wav
voice_01_s003_fan_5db,voice_01,s003,The orange jacket was hanging near the stairs.,noisy,fan,5,398382,data\noisy_wav\voice_01_s003_fan_5db.wav
voice_01_s003_fan_0db,voice_01,s003,The orange jacket was hanging near the stairs.,noisy,fan,0,101414,data\noisy_wav\voice_01_s003_fan_0db.wav
voice_01_s003_fan_-5db,voice_01,s003,The orange jacket was hanging near the stairs.,noisy,fan,-5,376417,data\noisy_wav\voice_01_s003_fan_-5db.wav
voice_01_s003_fan_-10db,voice_01,s003,The orange jacket was hanging near the stairs.,noisy,fan,-10,360663,data\noisy_wav\voice_01_s003_fan_-10db.wav
voice_01_s004_cafe_20db,voice_01,s004,Please confirm the meeting before Friday.,noisy,cafe,20,158263,data\noisy_wav\voice_01_s004_cafe_20db.wav
voice_01_s004_cafe_10db,voice_01,s004,Please confirm the meeting before Friday.,noisy,cafe,10,69342,data\noisy_wav\voice_01_s004_cafe_10db.wav
voice_01_s004_cafe_5db,voice_01,s004,Please confirm the meeting before Friday.,noisy,cafe,5,211583,data\noisy_wav\voice_01_s004_cafe_5db.wav
voice_01_s004_cafe_0db,voice_01,s004,Please confirm the meeting before Friday.,noisy,cafe,0,11390,data\noisy_wav\voice_01_s004_cafe_0db.wav
voice_01_s004_cafe_-5db,voice_01,s004,Please confirm the meeting before Friday.,noisy,cafe,-5,191294,data\noisy_wav\voice_01_s004_cafe_-5db.wav
voice_01_s004_cafe_-10db,voice_01,s004,Please confirm the meeting before Friday.,noisy,cafe,-10,120435,data\noisy_wav\voice_01_s004_cafe_-10db.wav
voice_01_s004_traffic_20db,voice_01,s004,Please confirm the meeting before Friday.,noisy,traffic,20,4498207,data\noisy_wav\voice_01_s004_traffic_20db.wav
voice_01_s004_traffic_10db,voice_01,s004,Please confirm the meeting before Friday.,noisy,traffic,10,1047117,data\noisy_wav\voice_01_s004_traffic_10db.wav
voice_01_s004_traffic_5db,voice_01,s004,Please confirm the meeting before Friday.,noisy,traffic,5,8163086,data\noisy_wav\voice_01_s004_traffic_5db.wav
voice_01_s004_traffic_0db,voice_01,s004,Please confirm the meeting before Friday.,noisy,traffic,0,7736774,data\noisy_wav\voice_01_s004_traffic_0db.wav
voice_01_s004_traffic_-5db,voice_01,s004,Please confirm the meeting before Friday.,noisy,traffic,-5,3175376,data\noisy_wav\voice_01_s004_traffic_-5db.wav
voice_01_s004_traffic_-10db,voice_01,s004,Please confirm the meeting before Friday.,noisy,traffic,-10,661023,data\noisy_wav\voice_01_s004_traffic_-10db.wav
voice_01_s004_fan_20db,voice_01,s004,Please confirm the meeting before Friday.,noisy,fan,20,578856,data\noisy_wav\voice_01_s004_fan_20db.wav
voice_01_s004_fan_10db,voice_01,s004,Please confirm the meeting before Friday.,noisy,fan,10,307419,data\noisy_wav\voice_01_s004_fan_10db.wav
voice_01_s004_fan_5db,voice_01,s004,Please confirm the meeting before Friday.,noisy,fan,5,659176,data\noisy_wav\voice_01_s004_fan_5db.wav
voice_01_s004_fan_0db,voice_01,s004,Please confirm the meeting before Friday.,noisy,fan,0,648564,data\noisy_wav\voice_01_s004_fan_0db.wav
voice_01_s004_fan_-5db,voice_01,s004,Please confirm the meeting before Friday.,noisy,fan,-5,379201,data\noisy_wav\voice_01_s004_fan_-5db.wav
voice_01_s004_fan_-10db,voice_01,s004,Please confirm the meeting before Friday.,noisy,fan,-10,605397,data\noisy_wav\voice_01_s004_fan_-10db.wav
voice_01_s005_cafe_20db,voice_01,s005,I heard thunder while walking across campus.,noisy,cafe,20,50407,data\noisy_wav\voice_01_s005_cafe_20db.wav
voice_01_s005_cafe_10db,voice_01,s005,I heard thunder while walking across campus.,noisy,cafe,10,184699,data\noisy_wav\voice_01_s005_cafe_10db.wav
voice_01_s005_cafe_5db,voice_01,s005,I heard thunder while walking across campus.,noisy,cafe,5,18233,data\noisy_wav\voice_01_s005_cafe_5db.wav
voice_01_s005_cafe_0db,voice_01,s005,I heard thunder while walking across campus.,noisy,cafe,0,12012,data\noisy_wav\voice_01_s005_cafe_0db.wav
voice_01_s005_cafe_-5db,voice_01,s005,I heard thunder while walking across campus.,noisy,cafe,-5,173346,data\noisy_wav\voice_01_s005_cafe_-5db.wav
voice_01_s005_cafe_-10db,voice_01,s005,I heard thunder while walking across campus.,noisy,cafe,-10,59742,data\noisy_wav\voice_01_s005_cafe_-10db.wav
voice_01_s005_traffic_20db,voice_01,s005,I heard thunder while walking across campus.,noisy,traffic,20,6484967,data\noisy_wav\voice_01_s005_traffic_20db.wav
voice_01_s005_traffic_10db,voice_01,s005,I heard thunder while walking across campus.,noisy,traffic,10,2427562,data\noisy_wav\voice_01_s005_traffic_10db.wav
voice_01_s005_traffic_5db,voice_01,s005,I heard thunder while walking across campus.,noisy,traffic,5,669343,data\noisy_wav\voice_01_s005_traffic_5db.wav
voice_01_s005_traffic_0db,voice_01,s005,I heard thunder while walking across campus.,noisy,traffic,0,7174925,data\noisy_wav\voice_01_s005_traffic_0db.wav
voice_01_s005_traffic_-5db,voice_01,s005,I heard thunder while walking across campus.,noisy,traffic,-5,1952791,data\noisy_wav\voice_01_s005_traffic_-5db.wav
voice_01_s005_traffic_-10db,voice_01,s005,I heard thunder while walking across campus.,noisy,traffic,-10,7268591,data\noisy_wav\voice_01_s005_traffic_-10db.wav
voice_01_s005_fan_20db,voice_01,s005,I heard thunder while walking across campus.,noisy,fan,20,105907,data\noisy_wav\voice_01_s005_fan_20db.wav
voice_01_s005_fan_10db,voice_01,s005,I heard thunder while walking across campus.,noisy,fan,10,398591,data\noisy_wav\voice_01_s005_fan_10db.wav
voice_01_s005_fan_5db,voice_01,s005,I heard thunder while walking across campus.,noisy,fan,5,291476,data\noisy_wav\voice_01_s005_fan_5db.wav
voice_01_s005_fan_0db,voice_01,s005,I heard thunder while walking across campus.,noisy,fan,0,475435,data\noisy_wav\voice_01_s005_fan_0db.wav
voice_01_s005_fan_-5db,voice_01,s005,I heard thunder while walking across campus.,noisy,fan,-5,666563,data\noisy_wav\voice_01_s005_fan_-5db.wav
voice_01_s005_fan_-10db,voice_01,s005,I heard thunder while walking across campus.,noisy,fan,-10,382554,data\noisy_wav\voice_01_s005_fan_-10db.wav
voice_01_s006_cafe_20db,voice_01,s006,The train stopped suddenly near the station.,noisy,cafe,20,42638,data\noisy_wav\voice_01_s006_cafe_20db.wav
voice_01_s006_cafe_10db,voice_01,s006,The train stopped suddenly near the station.,noisy,cafe,10,97040,data\noisy_wav\voice_01_s006_cafe_10db.wav
voice_01_s006_cafe_5db,voice_01,s006,The train stopped suddenly near the station.,noisy,cafe,5,93132,data\noisy_wav\voice_01_s006_cafe_5db.wav
voice_01_s006_cafe_0db,voice_01,s006,The train stopped suddenly near the station.,noisy,cafe,0,54921,data\noisy_wav\voice_01_s006_cafe_0db.wav
voice_01_s006_cafe_-5db,voice_01,s006,The train stopped suddenly near the station.,noisy,cafe,-5,175682,data\noisy_wav\voice_01_s006_cafe_-5db.wav
voice_01_s006_cafe_-10db,voice_01,s006,The train stopped suddenly near the station.,noisy,cafe,-10,69986,data\noisy_wav\voice_01_s006_cafe_-10db.wav
voice_01_s006_traffic_20db,voice_01,s006,The train stopped suddenly near the station.,noisy,traffic,20,5887295,data\noisy_wav\voice_01_s006_traffic_20db.wav
voice_01_s006_traffic_10db,voice_01,s006,The train stopped suddenly near the station.,noisy,traffic,10,7857228,data\noisy_wav\voice_01_s006_traffic_10db.wav
voice_01_s006_traffic_5db,voice_01,s006,The train stopped suddenly near the station.,noisy,traffic,5,5734013,data\noisy_wav\voice_01_s006_traffic_5db.wav
voice_01_s006_traffic_0db,voice_01,s006,The train stopped suddenly near the station.,noisy,traffic,0,5436114,data\noisy_wav\voice_01_s006_traffic_0db.wav
voice_01_s006_traffic_-5db,voice_01,s006,The train stopped suddenly near the station.,noisy,traffic,-5,598967,data\noisy_wav\voice_01_s006_traffic_-5db.wav
voice_01_s006_traffic_-10db,voice_01,s006,The train stopped suddenly near the station.,noisy,traffic,-10,5109761,data\noisy_wav\voice_01_s006_traffic_-10db.wav
voice_01_s006_fan_20db,voice_01,s006,The train stopped suddenly near the station.,noisy,fan,20,665822,data\noisy_wav\voice_01_s006_fan_20db.wav
voice_01_s006_fan_10db,voice_01,s006,The train stopped suddenly near the station.,noisy,fan,10,179451,data\noisy_wav\voice_01_s006_fan_10db.wav
voice_01_s006_fan_5db,voice_01,s006,The train stopped suddenly near the station.,noisy,fan,5,560086,data\noisy_wav\voice_01_s006_fan_5db.wav
voice_01_s006_fan_0db,voice_01,s006,The train stopped suddenly near the station.,noisy,fan,0,764544,data\noisy_wav\voice_01_s006_fan_0db.wav
voice_01_s006_fan_-5db,voice_01,s006,The train stopped suddenly near the station.,noisy,fan,-5,256702,data\noisy_wav\voice_01_s006_fan_-5db.wav
voice_01_s006_fan_-10db,voice_01,s006,The train stopped suddenly near the station.,noisy,fan,-10,171339,data\noisy_wav\voice_01_s006_fan_-10db.wav
voice_01_s007_cafe_20db,voice_01,s007,He placed the coffee mug beside the window.,noisy,cafe,20,121178,data\noisy_wav\voice_01_s007_cafe_20db.wav
voice_01_s007_cafe_10db,voice_01,s007,He placed the coffee mug beside the window.,noisy,cafe,10,99471,data\noisy_wav\voice_01_s007_cafe_10db.wav
voice_01_s007_cafe_5db,voice_01,s007,He placed the coffee mug beside the window.,noisy,cafe,5,70765,data\noisy_wav\voice_01_s007_cafe_5db.wav
voice_01_s007_cafe_0db,voice_01,s007,He placed the coffee mug beside the window.,noisy,cafe,0,167772,data\noisy_wav\voice_01_s007_cafe_0db.wav
voice_01_s007_cafe_-5db,voice_01,s007,He placed the coffee mug beside the window.,noisy,cafe,-5,180397,data\noisy_wav\voice_01_s007_cafe_-5db.wav
voice_01_s007_cafe_-10db,voice_01,s007,He placed the coffee mug beside the window.,noisy,cafe,-10,146001,data\noisy_wav\voice_01_s007_cafe_-10db.wav
voice_01_s007_traffic_20db,voice_01,s007,He placed the coffee mug beside the window.,noisy,traffic,20,1842265,data\noisy_wav\voice_01_s007_traffic_20db.wav
voice_01_s007_traffic_10db,voice_01,s007,He placed the coffee mug beside the window.,noisy,traffic,10,5742960,data\noisy_wav\voice_01_s007_traffic_10db.wav
voice_01_s007_traffic_5db,voice_01,s007,He placed the coffee mug beside the window.,noisy,traffic,5,2720280,data\noisy_wav\voice_01_s007_traffic_5db.wav
voice_01_s007_traffic_0db,voice_01,s007,He placed the coffee mug beside the window.,noisy,traffic,0,7070354,data\noisy_wav\voice_01_s007_traffic_0db.wav
voice_01_s007_traffic_-5db,voice_01,s007,He placed the coffee mug beside the window.,noisy,traffic,-5,6445081,data\noisy_wav\voice_01_s007_traffic_-5db.wav
voice_01_s007_traffic_-10db,voice_01,s007,He placed the coffee mug beside the window.,noisy,traffic,-10,6509559,data\noisy_wav\voice_01_s007_traffic_-10db.wav
voice_01_s007_fan_20db,voice_01,s007,He placed the coffee mug beside the window.,noisy,fan,20,58655,data\noisy_wav\voice_01_s007_fan_20db.wav
voice_01_s007_fan_10db,voice_01,s007,He placed the coffee mug beside the window.,noisy,fan,10,240174,data\noisy_wav\voice_01_s007_fan_10db.wav
voice_01_s007_fan_5db,voice_01,s007,He placed the coffee mug beside the window.,noisy,fan,5,33659,data\noisy_wav\voice_01_s007_fan_5db.wav
voice_01_s007_fan_0db,voice_01,s007,He placed the coffee mug beside the window.,noisy,fan,0,330776,data\noisy_wav\voice_01_s007_fan_0db.wav
voice_01_s007_fan_-5db,voice_01,s007,He placed the coffee mug beside the window.,noisy,fan,-5,420651,data\noisy_wav\voice_01_s007_fan_-5db.wav
voice_01_s007_fan_-10db,voice_01,s007,He placed the coffee mug beside the window.,noisy,fan,-10,280746,data\noisy_wav\voice_01_s007_fan_-10db.wav
voice_01_s008_cafe_20db,voice_01,s008,The camera battery died during the concert.,noisy,cafe,20,17350,data\noisy_wav\voice_01_s008_cafe_20db.wav
voice_01_s008_cafe_10db,voice_01,s008,The camera battery died during the concert.,noisy,cafe,10,55307,data\noisy_wav\voice_01_s008_cafe_10db.wav
voice_01_s008_cafe_5db,voice_01,s008,The camera battery died during the concert.,noisy,cafe,5,148682,data\noisy_wav\voice_01_s008_cafe_5db.wav
voice_01_s008_cafe_0db,voice_01,s008,The camera battery died during the concert.,noisy,cafe,0,229734,data\noisy_wav\voice_01_s008_cafe_0db.wav
voice_01_s008_cafe_-5db,voice_01,s008,The camera battery died during the concert.,noisy,cafe,-5,188196,data\noisy_wav\voice_01_s008_cafe_-5db.wav
voice_01_s008_cafe_-10db,voice_01,s008,The camera battery died during the concert.,noisy,cafe,-10,82490,data\noisy_wav\voice_01_s008_cafe_-10db.wav
voice_01_s008_traffic_20db,voice_01,s008,The camera battery died during the concert.,noisy,traffic,20,1783640,data\noisy_wav\voice_01_s008_traffic_20db.wav
voice_01_s008_traffic_10db,voice_01,s008,The camera battery died during the concert.,noisy,traffic,10,5498218,data\noisy_wav\voice_01_s008_traffic_10db.wav
voice_01_s008_traffic_5db,voice_01,s008,The camera battery died during the concert.,noisy,traffic,5,4187855,data\noisy_wav\voice_01_s008_traffic_5db.wav
voice_01_s008_traffic_0db,voice_01,s008,The camera battery died during the concert.,noisy,traffic,0,3318800,data\noisy_wav\voice_01_s008_traffic_0db.wav
voice_01_s008_traffic_-5db,voice_01,s008,The camera battery died during the concert.,noisy,traffic,-5,7421260,data\noisy_wav\voice_01_s008_traffic_-5db.wav
voice_01_s008_traffic_-10db,voice_01,s008,The camera battery died during the concert.,noisy,traffic,-10,7671781,data\noisy_wav\voice_01_s008_traffic_-10db.wav
voice_01_s008_fan_20db,voice_01,s008,The camera battery died during the concert.,noisy,fan,20,674079,data\noisy_wav\voice_01_s008_fan_20db.wav
voice_01_s008_fan_10db,voice_01,s008,The camera battery died during the concert.,noisy,fan,10,481141,data\noisy_wav\voice_01_s008_fan_10db.wav
voice_01_s008_fan_5db,voice_01,s008,The camera battery died during the concert.,noisy,fan,5,149811,data\noisy_wav\voice_01_s008_fan_5db.wav
voice_01_s008_fan_0db,voice_01,s008,The camera battery died during the concert.,noisy,fan,0,277746,data\noisy_wav\voice_01_s008_fan_0db.wav
voice_01_s008_fan_-5db,voice_01,s008,The camera battery died during the concert.,noisy,fan,-5,146413,data\noisy_wav\voice_01_s008_fan_-5db.wav
voice_01_s008_fan_-10db,voice_01,s008,The camera battery died during the concert.,noisy,fan,-10,258607,data\noisy_wav\voice_01_s008_fan_-10db.wav
voice_01_s009_cafe_20db,voice_01,s009,We ordered soup and bread for lunch.,noisy,cafe,20,195294,data\noisy_wav\voice_01_s009_cafe_20db.wav
voice_01_s009_cafe_10db,voice_01,s009,We ordered soup and bread for lunch.,noisy,cafe,10,147159,data\noisy_wav\voice_01_s009_cafe_10db.wav
voice_01_s009_cafe_5db,voice_01,s009,We ordered soup and bread for lunch.,noisy,cafe,5,141289,data\noisy_wav\voice_01_s009_cafe_5db.wav
voice_01_s009_cafe_0db,voice_01,s009,We ordered soup and bread for lunch.,noisy,cafe,0,68876,data\noisy_wav\voice_01_s009_cafe_0db.wav
voice_01_s009_cafe_-5db,voice_01,s009,We ordered soup and bread for lunch.,noisy,cafe,-5,195825,data\noisy_wav\voice_01_s009_cafe_-5db.wav
voice_01_s009_cafe_-10db,voice_01,s009,We ordered soup and bread for lunch.,noisy,cafe,-10,153245,data\noisy_wav\voice_01_s009_cafe_-10db.wav
voice_01_s009_traffic_20db,voice_01,s009,We ordered soup and bread for lunch.,noisy,traffic,20,3593963,data\noisy_wav\voice_01_s009_traffic_20db.wav
voice_01_s009_traffic_10db,voice_01,s009,We ordered soup and bread for lunch.,noisy,traffic,10,7531484,data\noisy_wav\voice_01_s009_traffic_10db.wav
voice_01_s009_traffic_5db,voice_01,s009,We ordered soup and bread for lunch.,noisy,traffic,5,4895028,data\noisy_wav\voice_01_s009_traffic_5db.wav
voice_01_s009_traffic_0db,voice_01,s009,We ordered soup and bread for lunch.,noisy,traffic,0,3350414,data\noisy_wav\voice_01_s009_traffic_0db.wav
voice_01_s009_traffic_-5db,voice_01,s009,We ordered soup and bread for lunch.,noisy,traffic,-5,3036646,data\noisy_wav\voice_01_s009_traffic_-5db.wav
voice_01_s009_traffic_-10db,voice_01,s009,We ordered soup and bread for lunch.,noisy,traffic,-10,1839795,data\noisy_wav\voice_01_s009_traffic_-10db.wav
voice_01_s009_fan_20db,voice_01,s009,We ordered soup and bread for lunch.,noisy,fan,20,145051,data\noisy_wav\voice_01_s009_fan_20db.wav
voice_01_s009_fan_10db,voice_01,s009,We ordered soup and bread for lunch.,noisy,fan,10,534277,data\noisy_wav\voice_01_s009_fan_10db.wav
voice_01_s009_fan_5db,voice_01,s009,We ordered soup and bread for lunch.,noisy,fan,5,517488,data\noisy_wav\voice_01_s009_fan_5db.wav
voice_01_s009_fan_0db,voice_01,s009,We ordered soup and bread for lunch.,noisy,fan,0,95325,data\noisy_wav\voice_01_s009_fan_0db.wav
voice_01_s009_fan_-5db,voice_01,s009,We ordered soup and bread for lunch.,noisy,fan,-5,792495,data\noisy_wav\voice_01_s009_fan_-5db.wav
voice_01_s009_fan_-10db,voice_01,s009,We ordered soup and bread for lunch.,noisy,fan,-10,49405,data\noisy_wav\voice_01_s009_fan_-10db.wav
voice_01_s010_cafe_20db,voice_01,s010,The lights flickered when the storm began.,noisy,cafe,20,225732,data\noisy_wav\voice_01_s010_cafe_20db.wav
voice_01_s010_cafe_10db,voice_01,s010,The lights flickered when the storm began.,noisy,cafe,10,28743,data\noisy_wav\voice_01_s010_cafe_10db.wav
voice_01_s010_cafe_5db,voice_01,s010,The lights flickered when the storm began.,noisy,cafe,5,40066,data\noisy_wav\voice_01_s010_cafe_5db.wav
voice_01_s010_cafe_0db,voice_01,s010,The lights flickered when the storm began.,noisy,cafe,0,164481,data\noisy_wav\voice_01_s010_cafe_0db.wav
voice_01_s010_cafe_-5db,voice_01,s010,The lights flickered when the storm began.,noisy,cafe,-5,41938,data\noisy_wav\voice_01_s010_cafe_-5db.wav
voice_01_s010_cafe_-10db,voice_01,s010,The lights flickered when the storm began.,noisy,cafe,-10,207638,data\noisy_wav\voice_01_s010_cafe_-10db.wav
voice_01_s010_traffic_20db,voice_01,s010,The lights flickered when the storm began.,noisy,traffic,20,5708290,data\noisy_wav\voice_01_s010_traffic_20db.wav
voice_01_s010_traffic_10db,voice_01,s010,The lights flickered when the storm began.,noisy,traffic,10,3541334,data\noisy_wav\voice_01_s010_traffic_10db.wav
voice_01_s010_traffic_5db,voice_01,s010,The lights flickered when the storm began.,noisy,traffic,5,5003041,data\noisy_wav\voice_01_s010_traffic_5db.wav
voice_01_s010_traffic_0db,voice_01,s010,The lights flickered when the storm began.,noisy,traffic,0,532909,data\noisy_wav\voice_01_s010_traffic_0db.wav
voice_01_s010_traffic_-5db,voice_01,s010,The lights flickered when the storm began.,noisy,traffic,-5,3227662,data\noisy_wav\voice_01_s010_traffic_-5db.wav
voice_01_s010_traffic_-10db,voice_01,s010,The lights flickered when the storm began.,noisy,traffic,-10,3201254,data\noisy_wav\voice_01_s010_traffic_-10db.wav
voice_01_s010_fan_20db,voice_01,s010,The lights flickered when the storm began.,noisy,fan,20,624834,data\noisy_wav\voice_01_s010_fan_20db.wav
voice_01_s010_fan_10db,voice_01,s010,The lights flickered when the storm began.,noisy,fan,10,490785,data\noisy_wav\voice_01_s010_fan_10db.wav
voice_01_s010_fan_5db,voice_01,s010,The lights flickered when the storm began.,noisy,fan,5,554816,data\noisy_wav\voice_01_s010_fan_5db.wav
voice_01_s010_fan_0db,voice_01,s010,The lights flickered when the storm began.,noisy,fan,0,263626,data\noisy_wav\voice_01_s010_fan_0db.wav
voice_01_s010_fan_-5db,voice_01,s010,The lights flickered when the storm began.,noisy,fan,-5,580099,data\noisy_wav\voice_01_s010_fan_-5db.wav
voice_01_s010_fan_-10db,voice_01,s010,The lights flickered when the storm began.,noisy,fan,-10,12038,data\noisy_wav\voice_01_s010_fan_-10db.wav
